time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,10000,29,9971,289159,0.5000328538969909,5.47473107276224e-05
1,2,10000,50,9950,497500,0.5134070351758794,9.419311550735804e-05
2,3,10000,71,9929,704959,0.49943330037633393,0.00013347192867326957
3,4,10000,93,9907,921351,0.48317090880674135,0.00017444205259461274
4,5,10000,113,9887,1117231,0.48418635000281945,0.00021152858016362038
5,6,10000,139,9861,1370679,0.5087945463525742,0.00025951462386032166
6,7,10000,170,9830,1671100,0.48985937406498714,0.00031639420165697693
7,8,10000,191,9809,1873519,0.4839230346743214,0.00035471877702960793
8,9,10000,209,9791,2046319,0.49943581621438293,0.0003874355013706561
9,10,10000,226,9774,2208924,0.5103914847228787,0.0004182219768421615
10,11,9990,239,9751,2330489,0.5035196475932733,0.00044123823028266804
11,12,9976,252,9724,2450448,0.4995674260380143,0.0004639504150930141
12,13,9961,260,9701,2522260,0.4928726618191622,0.0004775467889840983
13,14,9954,275,9679,2661725,0.5023663225915524,0.0005039521012539148
14,15,9941,301,9640,2901640,0.5093081843371334,0.0005493759028759204
15,16,9934,322,9612,3095064,0.5025233726992399,0.0005859974288535992
16,17,9915,332,9583,3181556,0.5068611082124596,0.0006023732096505086
17,18,9906,356,9550,3399800,0.5082807812224248,0.0006436939780943032
18,19,9900,380,9520,3617600,0.5046503206545776,0.0006849306827324994
19,20,9890,388,9502,3686776,0.5020646765629374,0.0006980279751110663
20,21,9880,405,9475,3837375,0.505653734649337,0.0007265413198392926
21,22,9873,428,9445,4042460,0.5056403773939631,0.0007653706567113057
22,23,9860,447,9413,4207611,0.5129737516134453,0.0007966391737347342
23,24,9851,464,9387,4355568,0.5160780407974346,0.0008246523009530702
24,25,9834,475,9359,4445525,0.5206863081413331,0.00084168412023286
25,26,9822,488,9334,4554992,0.5252808347413125,0.0008624098243037022
26,27,9817,507,9310,4720170,0.5272134266350577,0.0008936834533153089
27,28,9800,514,9286,4773004,0.5235093035748556,0.0009036866675157427
28,29,9786,521,9265,4827065,0.5195523573848705,0.0009139221931789452
29,30,9776,529,9247,4891663,0.5189437620702816,0.0009261527195619488
30,31,9769,542,9227,5001034,0.5153020355390505,0.0009468602476748238
31,32,9764,554,9210,5102340,0.5136543233104811,0.0009660408059855543
32,33,9758,573,9185,5263005,0.5108832311578652,0.000996459975639805
33,34,9746,581,9165,5324865,0.5119622750999321,0.001008172108554951
34,35,9736,593,9143,5421799,0.510001385149099,0.0010265249034465897
