time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,2000,9,1991,17919,0.4908198002120654,8.418654486749605e-05
1,2,2000,15,1985,29775,0.46132661628883287,0.00013988807262847784
2,3,2000,20,1980,39600,0.4543939393939394,0.00018604761296684208
3,4,2000,23,1977,45471,0.5059268544786788,0.0002136305810407898
4,5,2000,30,1970,59100,0.46817258883248736,0.000277661967836878
5,6,2000,33,1967,64911,0.4677173360447382,0.00030496304558814865
6,7,2000,38,1962,74556,0.49690165781426043,0.00035027691495848176
7,8,2000,40,1960,78400,0.5022066326530612,0.0003683366882979904
8,9,2000,42,1958,82236,0.5122574055158324,0.00038635887626114205
9,10,2000,44,1956,86064,0.5044385573526677,0.0004043434788479368
10,11,1998,45,1953,87885,0.5117596859532343,0.00041289885014118475
11,12,1995,47,1948,91556,0.4798811656254095,0.0004301458397169746
12,13,1993,48,1945,93360,0.4866538131962297,0.00043862134208546406
13,14,1991,50,1941,97050,0.5034518289541474,0.00045595759693010165
14,15,1988,57,1931,110067,0.4809343399929134,0.0005171137024348841
15,16,1987,62,1925,119350,0.48320904901550066,0.0005607268335250657
16,17,1982,59,1923,113457,0.4941343416448522,0.0005330405056661364
17,18,1982,71,1911,135681,0.5184734782320295,0.0006374526811857097
18,19,1981,77,1904,146608,0.5196374004147113,0.000688789607117242
19,20,1978,81,1897,153657,0.5153881697547134,0.0007219070218597489
20,21,1977,85,1892,160820,0.533111553289392,0.000755560028215342
21,22,1977,89,1888,168032,0.5291015996952961,0.0007894432450011214
22,23,1976,95,1881,178695,0.5338369848065139,0.0008395398535128749
23,24,1973,99,1874,185526,0.5328255877882345,0.0008716330667496552
24,25,1970,102,1868,190536,0.5547140697820885,0.0008951709086931875
25,26,1970,107,1863,199341,0.5519185716937308,0.0009365383135460421
26,27,1969,112,1857,207984,0.5716833987229787,0.0009771446145276689
27,28,1964,114,1850,210900,0.5595637743006164,0.0009908444842097726
28,29,1962,114,1848,210672,0.5595570365307208,0.0009897733009835998
29,30,1958,112,1846,206752,0.5755397771242842,0.0009713564665687004
30,31,1957,116,1841,213556,0.5635898780647699,0.0010033228291602759
31,32,1956,121,1835,222035,0.5583534127502421,0.0010431586299265855
32,33,1954,121,1833,221793,0.5527135662532181,0.001042021672291788
