time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,2000,5,1995,9975,0.38360902255639096,4.5638554825216165e-05
1,2,2000,9,1991,17919,0.6465762598359284,8.19846881115838e-05
2,3,2000,13,1987,25831,0.6154620417328017,0.0001181844119990134
3,4,2000,16,1984,31744,0.6177860383064516,0.0001452381237465325
4,5,2000,22,1978,43516,0.5787986028127585,0.0001990984813808628
5,6,2000,26,1974,51324,0.5991349076455459,0.0002348223747217438
6,7,2000,34,1966,66844,0.5770001795224702,0.00030583093320669165
7,8,2000,37,1963,72631,0.5333672949566989,0.0003323081579458922
8,9,2000,40,1960,78400,0.5405867346938775,0.0003587030273981902
9,10,2000,45,1955,87975,0.5596305768684285,0.00040251146473668087
10,11,1998,46,1952,89792,0.5436842925873129,0.0004108247734201313
11,12,1993,50,1943,97150,0.5152959341224911,0.00044448978458844614
12,13,1991,53,1938,102714,0.4970841365344549,0.00046994671882879727
13,14,1990,55,1935,106425,0.5119661733615222,0.00048692563381189276
14,15,1990,60,1930,115800,0.5163298791018998,0.0005298190124070207
15,16,1988,60,1928,115680,0.5138226141078839,0.0005292699771610031
16,17,1983,63,1920,120960,0.5273726851851852,0.0005534275279857791
17,18,1981,67,1914,128238,0.5103713407882219,0.0005867265156567489
18,19,1980,73,1907,139211,0.4782272952568403,0.0006369312136113451
19,20,1978,77,1901,146377,0.5243105132636958,0.0006697177683860317
20,21,1975,81,1894,153414,0.5097513916591706,0.0007019141102712494
21,22,1972,86,1886,162196,0.5291869096648498,0.0007420943396923068
22,23,1970,88,1882,165616,0.5328017824364796,0.0007577418442038095
23,24,1968,91,1877,170807,0.4917479962764992,0.0007814921938877891
24,25,1966,97,1869,181293,0.49698002680743325,0.0008294687238022972
25,26,1964,99,1865,184635,0.4837652666070897,0.0008447593554038883
26,27,1964,103,1861,191683,0.4730675125076298,0.0008770060255199909
27,28,1963,106,1857,196842,0.48686764003617117,0.0009006099658050325
28,29,1959,106,1853,196418,0.4574478917410828,0.0008986700412691035
29,30,1956,109,1847,201323,0.4795105377925025,0.0009211118569500746
30,31,1955,111,1844,204684,0.5174659475093314,0.0009364894191322852
31,32,1954,112,1842,206304,0.5454547657825345,0.0009439013949535234
32,33,1952,113,1839,207807,0.5333265963129249,0.0009507780614098942
33,34,1950,113,1837,207581,0.5379080937079983,0.0009497440450298944
34,35,1947,112,1835,205520,0.4910300700661736,0.0009403143646795414
35,36,1945,115,1830,210450,0.5163768115942029,0.0009628705627034327
36,37,1943,116,1827,211932,0.5236066285412302,0.0009696511479917506
37,38,1941,117,1824,213408,0.5220329134802819,0.0009764042815177675
38,39,1938,121,1817,219857,0.49559031552327193,0.0010059103506974987
39,40,1936,123,1813,222999,0.46681823685308005,0.0010202859235557272
40,41,1933,127,1806,229362,0.46377342367087837,0.0010493985174758124
41,42,1931,130,1801,234130,0.4993144834066544,0.00107121351791758
42,43,1930,134,1796,240664,0.49533166572482795,0.0011011084870632404
43,44,1930,138,1792,247296,0.5066054444875776,0.0011314518349931485
44,45,1926,140,1786,250040,0.49140937450007993,0.001144006440952085
45,46,1925,143,1782,254826,0.5160756751665844,0.0011659037966807553
46,47,1922,147,1775,260925,0.49459039954009776,0.0011938085130596017
47,48,1922,148,1774,262552,0.520325497425272,0.0012012525159368576
48,49,1920,152,1768,268736,0.5063556799237914,0.0012295461322816331
49,50,1917,151,1766,266666,0.5303038257595645,0.001220075274287829
50,51,1916,153,1763,269739,0.5531995744034048,0.0012341351518795971
51,52,1914,156,1758,274248,0.5240986260610835,0.0012547651512487099
52,53,1910,158,1752,276816,0.5158011097624415,0.0012665145055134875
53,54,1909,161,1748,281428,0.5150127208380119,0.001287615760135432
54,55,1908,163,1745,284435,0.514462003621214,0.0013013736683418907
55,56,1908,164,1744,286016,0.5131513621615574,0.001308607207708173
56,57,1905,163,1742,283946,0.5039021504088805,0.0012991363497143688
57,58,1904,168,1736,291648,0.48032731237656356,0.0013343752619212675
58,59,1903,171,1732,296172,0.4802260173142633,0.0013550738906961323
59,60,1900,174,1726,300324,0.5049846166140568,0.0013740705102083428
60,61,1899,178,1721,306338,0.5060717246962506,0.00140158632662126
61,62,1897,180,1717,309060,0.4938911538212645,0.0014140402761184268
62,63,1895,183,1712,313296,0.4883113732700066,0.0014334212203028494
63,64,1895,186,1709,317874,0.4745716856364472,0.0014543669149384222
64,65,1894,187,1707,319209,0.4753374748205722,0.0014604749320503685
65,66,1893,190,1703,323570,0.49244676576938523,0.0014804277879493929
66,67,1892,192,1700,326400,0.5037101715686274,0.0014933758691679756
67,68,1892,197,1695,333915,0.5215219442073581,0.00152775920144983
68,69,1890,197,1693,333521,0.5169224726478991,0.0015259565357254054
69,70,1888,200,1688,337600,0.529061018957346,0.0015446191587962883
70,71,1887,204,1683,343332,0.527723894073375,0.0015708447423810642
71,72,1886,206,1680,346080,0.4960442672214517,0.001583417649514868
72,73,1884,206,1678,345668,0.5154252056886954,0.001581532628503541
73,74,1881,204,1677,342108,0.4953640370877033,0.0015652445828716842
74,75,1877,204,1673,341292,0.4898620536080541,0.0015615111431987643
75,76,1876,205,1671,342555,0.5043890762067406,0.0015672897391631
76,77,1873,210,1663,349230,0.5094808578873522,0.001597829824722831
77,78,1871,210,1661,348810,0.5021587683839339,0.0015959082013617693
78,79,1867,210,1657,347970,0.4897232520044832,0.001592064954639646
79,80,1866,213,1653,352089,0.4994759847652156,0.0016109105894592014
80,81,1862,213,1649,351237,0.5153486107670889,0.0016070124392124762
81,82,1862,216,1646,355536,0.5022866882678547,0.001626681626901058
82,83,1861,217,1644,356748,0.49497404330227496,0.0016322268828858361
83,84,1858,216,1642,354672,0.4945118306491632,0.0016227285731297309
84,85,1852,216,1636,353376,0.5150378067554107,0.0016167989924727405
85,86,1851,216,1635,353160,0.5343555329029336,0.0016158107290299088
86,87,1848,219,1629,356751,0.5257070057266833,0.0016322406087669866
87,88,1847,220,1627,357940,0.5178759009889926,0.001637680632996278
88,89,1844,222,1622,360084,0.5300527099232402,0.0016474900627251265
89,90,1844,224,1620,362880,0.5561728395061729,0.0016602825839573375
90,91,1843,230,1613,370990,0.55135178845791,0.001697388216000696
91,92,1842,232,1610,373520,0.5604171128721354,0.0017089637091042347
92,93,1840,234,1606,375804,0.5484241785611649,0.001719413679953437
93,94,1839,238,1601,381038,0.5533673806811918,0.0017433607672672398
94,95,1836,240,1596,383040,0.5425569131161236,0.0017525205052883006
95,96,1835,239,1596,381444,0.5182805339709106,0.001745218336516266
96,97,1834,238,1596,379848,0.5179703460331501,0.0017379161677442314
97,98,1834,241,1593,383913,0.514423840818102,0.001756514736703079
98,99,1831,240,1591,381840,0.539151215168657,0.0017470301528281242
99,100,1829,238,1591,378658,0.5406012813673552,0.0017324715682212233
100,101,1828,238,1590,378420,0.5334284657259131,0.0017313826483166216
101,102,1826,237,1589,376593,0.5265950243366181,0.001723023586696003
102,103,1825,241,1584,381744,0.5402010247705269,0.0017465909246313102
103,104,1822,243,1579,383697,0.5289499266348187,0.0017555264732602473
104,105,1818,241,1577,380057,0.5468600762517202,0.0017388724041310455
105,106,1818,244,1574,384056,0.5383694044618493,0.0017571690037045833
106,107,1815,245,1570,384650,0.5193942545170935,0.0017598867281723707
107,108,1813,247,1566,386802,0.5360016235696816,0.0017697327602509535
108,109,1811,247,1564,386308,0.5241077068038975,0.0017674725651548476
109,110,1808,245,1563,382935,0.5501246947915444,0.0017520400994480352
110,111,1805,246,1559,383514,0.5289376659000715,0.0017546891945100702
111,112,1804,245,1559,381955,0.5151745624484559,0.001747556311605558
112,113,1801,243,1558,378594,0.5354192089679182,0.0017321787494233472
113,114,1799,247,1552,383344,0.5335560227889311,0.001753911394578212
114,115,1796,251,1545,387795,0.5203122783945126,0.0017742760269117495
115,116,1796,256,1540,394240,0.5194754464285715,0.0018037637949166135
116,117,1794,257,1537,395009,0.5127769240700846,0.0018072821957848433
117,118,1793,261,1532,399852,0.5029961085601673,0.0018294403432553717
118,119,1792,263,1529,402127,0.5125569782680597,0.0018398491364611227
119,120,1789,265,1524,403860,0.49561481701579757,0.0018477781204723608
120,121,1786,263,1523,400549,0.5114293132675403,0.001832629322975991
121,122,1784,268,1516,406288,0.5130227818690191,0.0018588869336167843
122,123,1784,268,1516,406288,0.5188536210766747,0.0018588869336167843
123,124,1782,271,1511,409481,0.515904278831008,0.0018734958464545703
124,125,1780,272,1508,410176,0.5219588664378217,0.0018766756755877558
125,126,1778,275,1503,413325,0.5201500030242545,0.001891083275502002
126,127,1777,274,1503,411822,0.5015989917974271,0.001884206609045631
127,128,1772,277,1495,414115,0.5061963464255098,0.0018946977575382848
128,129,1770,278,1492,414776,0.5190825891565568,0.0018977220266850987
129,130,1767,279,1488,415152,0.5001385034878791,0.0018994423371226205
130,131,1765,278,1487,413386,0.4954086495430421,0.0018913623684187278
131,132,1761,277,1484,411068,0.49362757499975674,0.0018807568375831536
132,133,1759,278,1481,411718,0.49207710131692073,0.0018837307784990824
133,134,1758,282,1476,416232,0.5013898498914067,0.0019043836543367794
134,135,1755,285,1470,418950,0.5152166129609739,0.0019168193026590787
135,136,1753,284,1469,417196,0.5168002569535661,0.0019087942374797877
136,137,1751,285,1466,417810,0.5287152054761733,0.0019116034678219112
137,138,1750,289,1461,422229,0.5138976716426394,0.0019318216907565108
138,139,1748,288,1460,420480,0.5058385654490106,0.0019238195020458036
139,140,1747,291,1456,423696,0.5390445036063592,0.0019385336466390764
140,141,1746,293,1453,425729,0.5440150894113391,0.0019478352187653585
141,142,1742,293,1449,424557,0.5342168424970029,0.0019424729745292529
142,143,1741,294,1447,425418,0.5103216130958258,0.0019464123024194296
143,144,1739,295,1444,425980,0.515873984694117,0.0019489836174882789
144,145,1734,294,1440,423360,0.5221537226001512,0.001936996347950227
145,146,1733,294,1439,423066,0.5408588730836323,0.0019356512115974837
146,147,1733,294,1439,423066,0.5267263263887905,0.0019356512115974837
147,148,1730,294,1436,422184,0.5253562427756618,0.0019316158025392543
148,149,1729,295,1434,423030,0.5444921163983641,0.0019354865010236784
149,150,1724,296,1428,422688,0.5400011355893709,0.0019339217505725283
150,151,1721,299,1422,425178,0.526537120923472,0.0019453142319273942
151,152,1720,302,1418,428236,0.528793702537853,0.0019593054801134106
152,153,1719,303,1416,429048,0.5246639070686729,0.001963020618611463
153,154,1718,305,1413,430965,0.5226108848746418,0.001971791456666595
154,155,1718,309,1409,435381,0.5212423142029625,0.001991995953720044
155,156,1718,312,1406,438672,0.5079581099317941,0.0020070532453420778
156,157,1716,311,1405,436955,0.4970626265862618,0.0019991974660303084
157,158,1714,311,1403,436333,0.4982181040627227,0.0019963516333384506
158,159,1714,311,1403,436333,0.5083823593448124,0.0019963516333384506
159,160,1714,311,1403,436333,0.5057100883957895,0.0019963516333384506
160,161,1713,313,1400,438200,0.49296325878594244,0.0020048937067077416
161,162,1710,312,1398,436176,0.4892359964784857,0.0019956333122249106
162,163,1708,312,1396,435552,0.5131970465065021,0.001992778328945619
163,164,1705,312,1393,434616,0.5201810333719882,0.0019884958540266813
164,165,1703,313,1390,435070,0.5025306272553842,0.001990573037374115
165,166,1701,312,1389,433368,0.5228027911613224,0.001982785887468098
166,167,1698,311,1387,431357,0.514534364806877,0.001973584971803586
167,168,1696,310,1386,429660,0.5317506865893962,0.001965820698366153
168,169,1693,313,1380,431940,0.5318979487891836,0.0019762523680404882
169,170,1691,315,1376,433440,0.5290778423772611,0.0019831153086157086
170,171,1690,317,1373,435241,0.5327002741010154,0.00199135541259969
171,172,1689,319,1370,437030,0.5136237786879619,0.0019995406130590694
172,173,1686,319,1367,436073,0.5152990439674091,0.001995162056972079
173,174,1685,319,1366,435754,0.5184048798175117,0.0019937025382764156
174,175,1683,319,1364,435116,0.5185835501337575,0.0019907835008850885
175,176,1681,321,1360,436560,0.5378367234744366,0.0019973902250121672
176,177,1680,323,1357,438311,0.5461339094843616,0.002005401564310308
177,178,1674,320,1354,433280,0.5366368168389956,0.0019823832616210186
178,179,1673,323,1350,436050,0.5388636624240339,0.0019950568252165924
179,180,1672,328,1344,440832,0.5404031467770035,0.002016935879770395
180,181,1671,327,1344,439488,0.5535759793213921,0.0020107866850149975
181,182,1670,328,1342,440176,0.5528265966340736,0.0020139344870921654
182,183,1668,330,1338,441540,0.5641470761425917,0.002020175187721899
183,184,1667,332,1335,443220,0.5509115112133929,0.0020278616811661462
184,185,1664,331,1333,441223,0.5488471815839157,0.0020187248196136694
185,186,1663,332,1331,441892,0.5502634127795932,0.0020217856911102176
186,187,1662,333,1329,442557,0.5478107904744474,0.0020248282614318985
187,188,1662,335,1327,444545,0.5482695790077495,0.002033923945340924
188,189,1659,333,1326,441558,0.5388725829902301,0.0020202575430088017
189,190,1658,333,1325,441225,0.5327689954105048,0.002018733970201103
190,191,1656,336,1320,443520,0.5379622113997115,0.00202923426928119
191,192,1655,337,1318,444166,0.5220187947749264,0.002032189909022252
192,193,1654,340,1314,446760,0.5180186229743038,0.0020440582209236666
193,194,1652,344,1308,449952,0.507303001209018,0.0020586625584677358
194,195,1651,344,1307,449608,0.5080180957634206,0.002057088657429152
195,196,1651,344,1307,449608,0.5163431255671607,0.002057088657429152
196,197,1649,344,1305,448920,0.5008219727345629,0.002053940855351984
197,198,1646,343,1303,446929,0.5348064233916349,0.002044831445561808
198,199,1643,344,1299,446856,0.5371137458152067,0.0020444974491204805
199,200,1641,344,1297,446168,0.5113578293378279,0.0020413496470433126
200,201,1638,343,1295,444185,0.5165460337472,0.002032276839602871
201,202,1634,340,1294,439960,0.5330882352941176,0.0020129462236493337
202,203,1633,341,1292,440572,0.544192549685409,0.0020157463034040234
203,204,1630,343,1287,441441,0.5440885644967277,0.0020197222336439348
204,205,1629,345,1284,442980,0.5445223260643822,0.0020267636106741107
205,206,1629,349,1280,446720,0.5183179620343839,0.002043875209174994
206,207,1628,349,1279,446371,0.5260310369625267,0.002042278431667826
207,208,1626,350,1276,446600,0.5282198835647112,0.002043326173928976
208,209,1624,349,1275,444975,0.5407123995730098,0.002035891321639154
209,210,1623,349,1274,444626,0.5194028239464179,0.0020342945441319863
210,211,1620,348,1272,442656,0.5206898810814719,0.0020252812155098633
211,212,1619,350,1269,444150,0.5057244174265451,0.002032116704322783
212,213,1616,350,1266,443100,0.5313653802753329,0.0020273126459201284
213,214,1614,349,1265,441485,0.5401576497502747,0.0020199235465674743
214,215,1614,350,1264,442400,0.5435352622061482,0.002024109940318359
215,216,1611,351,1260,442260,0.5426152037263149,0.002023469399198005
216,217,1606,351,1255,440505,0.5637052927889581,0.002015439758724997
217,218,1604,354,1250,442500,0.5494124293785311,0.0020245674696900405
218,219,1603,361,1242,448362,0.5372288463339892,0.002051387841458002
219,220,1600,361,1239,447279,0.5181285059213601,0.0020464327983626927
220,221,1598,359,1239,444801,0.5041670319985792,0.0020350952205324285
221,222,1597,359,1238,444442,0.5001237506806288,0.0020334526900880924
222,223,1596,361,1235,445835,0.5001547657765766,0.002039826074235614
223,224,1594,360,1234,444240,0.503633171258779,0.002032528480757296
224,225,1594,360,1234,444240,0.5184303529623627,0.002032528480757296
225,226,1590,362,1228,444536,0.5065967660661903,0.0020338827676974727
226,227,1589,363,1226,445038,0.5124259052036005,0.002036179565143313
227,228,1586,364,1222,444808,0.5117286559594252,0.002035127247588446
228,229,1586,365,1221,445665,0.5126720743159099,0.0020390482743037554
229,230,1585,367,1218,447006,0.5221786732169142,0.0020451837431780025
230,231,1585,369,1216,448704,0.5271381578947368,0.002052952591909152
231,232,1584,371,1213,450023,0.5338216046735389,0.0020589874043216295
232,233,1582,371,1211,449281,0.5371560337517055,0.0020555925363837536
233,234,1580,376,1204,452704,0.5108967448929101,0.0020712537667764066
234,235,1577,376,1201,451576,0.4958368026644463,0.002066092835463841
235,236,1575,375,1200,450000,0.49311555555555564,0.0020588821725661425
236,237,1572,375,1197,448875,0.4964411027568922,0.002053734967134727
237,238,1571,375,1196,448500,0.4946867335562988,0.002052019231990922
238,239,1570,376,1194,448944,0.5015124380769094,0.0020540506624011873
239,240,1569,377,1192,449384,0.503010788101045,0.0020560637916365856
240,241,1568,378,1190,449820,0.5179227246454137,0.0020580586196971163
241,242,1562,374,1188,444312,0.5011253353499343,0.0020328579019049066
242,243,1559,372,1187,441564,0.5161358262901866,0.0020202849947711025
243,244,1556,373,1183,441259,0.5227315476851463,0.0020188895301874745
244,245,1555,373,1182,440886,0.5154473038381804,0.002017182945631103
245,246,1553,375,1178,441750,0.4986757215619694,0.00202113599940243
246,247,1551,375,1176,441000,0.5154331065759638,0.0020177045291148196
247,248,1549,376,1173,441048,0.5168394369773812,0.002017924143213227
248,249,1544,377,1167,439959,0.507399553140179,0.002012941648355617
249,250,1541,379,1162,440398,0.5240498367385865,0.002014950202297298
250,251,1537,381,1156,440436,0.49128363712321427,0.002015124063458537
251,252,1534,380,1154,438520,0.5114361944723159,0.0020063578006971217
252,253,1533,380,1153,438140,0.523877071255763,0.0020046191890847327
253,254,1532,381,1151,438531,0.522329094180343,0.002006408128928007
254,255,1530,381,1149,437769,0.5108984418723117,0.002002921755115795
255,256,1528,379,1149,435471,0.5020368750157875,0.0019924077301545573
256,257,1524,378,1146,433188,0.5063690591613803,0.0019819623345990714
257,258,1523,378,1145,432810,0.4919410364825212,0.001980232873574116
258,259,1519,378,1141,431298,0.5046047048676321,0.001973315029474294
259,260,1516,378,1138,430164,0.5134402227987465,0.001968126646399427
260,261,1513,379,1134,429786,0.49922519579511665,0.0019663971853744714
261,262,1509,379,1130,428270,0.5052069955868961,0.001959461040099782
262,263,1508,380,1128,428640,0.5229808230683091,0.001961153898775003
263,264,1507,384,1123,431232,0.5174360900860789,0.001973013060088984
264,265,1503,385,1118,430430,0.4981390702320935,0.0019693436745280993
265,266,1502,386,1116,430776,0.4982682414990621,0.001970926726154117
266,267,1499,387,1112,430344,0.5317617998624355,0.0019689501992684534
267,268,1498,387,1111,429957,0.5406889526161919,0.0019671795606000467
268,269,1494,387,1107,428409,0.5608367237849812,0.001960097005926419
269,270,1492,390,1102,429780,0.5663316115221741,0.0019663697336121705
270,271,1489,391,1098,429318,0.5550431148938549,0.001964255947915003
271,272,1488,391,1097,428927,0.5436263047091929,0.0019624670080717285
272,273,1488,391,1097,428927,0.5267889407754699,0.0019624670080717285
273,274,1486,391,1095,428145,0.5327470833479312,0.00195888912838518
274,275,1485,391,1094,427754,0.5307723598142857,0.0019571001885419063
275,276,1481,390,1091,425490,0.5337798773179159,0.0019467417235670401
276,277,1479,392,1087,426104,0.5236491560745733,0.0019495509539091637
277,278,1478,394,1084,427096,0.5343786876955063,0.0019540896452762426
278,279,1478,396,1082,428472,0.5378344442577345,0.0019603852494305784
279,280,1476,401,1075,431075,0.5196183958707882,0.0019722947389754445
280,281,1476,402,1074,431748,0.5313550960282387,0.00197537391164686
281,282,1475,403,1072,432016,0.5410818117847487,0.001976600090362966
282,283,1474,406,1068,433608,0.5266784745668899,0.001983883957960133
283,284,1473,405,1068,432540,0.531772784019975,0.0019789975442705762
284,285,1469,405,1064,430920,0.527383272997308,0.001971585568449338
285,286,1465,404,1061,428644,0.5286998068327096,0.00196117219994987
286,287,1461,402,1059,425718,0.5361060608196037,0.0019477848905344736
287,288,1458,403,1055,425165,0.5569343666576506,0.0019452547531090757
288,289,1456,403,1053,424359,0.547402081727971,0.0019415670663733239
289,290,1454,403,1051,423553,0.5309512622977526,0.001937879379637572
290,291,1452,403,1049,422747,0.5049225659791791,0.0019341916929018202
291,292,1452,403,1049,422747,0.5117292375818161,0.0019341916929018202
292,293,1451,403,1048,422344,0.5125134961074385,0.0019323478495339443
293,294,1447,404,1043,421372,0.5174501390695158,0.0019279006640412016
