time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,2000,2,1998,3996,0.32432432432432434,1.933320726108238e-05
1,2,2000,8,1992,15936,0.26142068273092367,7.710059832647868e-05
2,3,2000,12,1988,23856,0.36955063715627096,0.00011541866677186718
3,4,2000,16,1984,31744,0.5403855846774194,0.00015358191473868846
4,5,2000,21,1979,41559,0.47866888038691985,0.00020106825839922988
5,6,2000,32,1968,62976,0.49522040142276424,0.0003046867018203013
6,7,2000,39,1961,76479,0.5798323722852026,0.00037001610563571554
7,8,2000,44,1956,86064,0.5357989403234802,0.00041638967710655504
8,9,2000,48,1952,93696,0.5359673838797815,0.00045331436124483853
9,10,2000,50,1950,97500,0.5491076923076923,0.0004717186456345175
10,11,1997,55,1942,106810,0.5456137065817807,0.0005167617286176699
11,12,1994,59,1935,114165,0.5036920247010905,0.0005523462479883559
12,13,1990,59,1931,113929,0.47634052787262243,0.0005512044469589226
13,14,1990,63,1927,121401,0.48302732267444254,0.0005873550287043698
14,15,1986,67,1919,128573,0.5023216382910876,0.0006220541684632495
15,16,1985,76,1909,145084,0.4765170521904552,0.000701936697263983
16,17,1984,80,1904,152320,0.45131959033613445,0.0007369454779799971
17,18,1983,81,1902,154062,0.47576300450467995,0.0007453735177820005
18,19,1981,82,1899,155718,0.49784225330404963,0.0007533854775478544
19,20,1978,80,1898,151840,0.5038461538461538,0.0007346231708014886
20,21,1975,81,1894,153414,0.4814684448616162,0.0007422384030910141
21,22,1974,87,1887,164169,0.42468431920764577,0.0007942725983094678
22,23,1969,91,1878,170898,0.44922117286334534,0.0008268284420681823
23,24,1969,94,1875,176250,0.4667914893617021,0.0008527221671085509
24,25,1964,93,1871,174003,0.4717045108417671,0.0008418508666291585
25,26,1960,97,1863,180711,0.46083525629319744,0.0008743051094488133
26,27,1959,100,1859,185900,0.4955890263582571,0.00089941021767648
27,28,1957,102,1855,189210,0.518704085407748,0.0009154244609282776
28,29,1954,105,1849,194145,0.5029900332225914,0.000939300681607317
29,30,1953,108,1845,199260,0.49876543209876545,0.0009640477674782971
30,31,1952,112,1840,206080,0.49152270962732925,0.0009970438819729371
31,32,1951,115,1836,211140,0.5053566354077863,0.0010215248701463799
32,33,1951,118,1833,216294,0.5032224657179579,0.0010464606434756136
33,34,1950,122,1828,223016,0.5169942963733544,0.0010789826202546417
34,35,1950,127,1823,231521,0.5008876084674825,0.0011201310005738373
35,36,1946,124,1822,225928,0.48280868241209585,0.0010930712838042593
36,37,1942,126,1816,228816,0.4854774141668415,0.0011070438319949515
37,38,1939,130,1809,235170,0.48501934770591487,0.0011377853732704563
38,39,1938,133,1805,240065,0.4690521317143274,0.0011614680683512866
