time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,2000,6,1994,11964,0.37771648278167835,5.669431378494376e-05
1,2,2000,8,1992,15936,0.47301706827309237,7.551659850191105e-05
2,3,2000,10,1990,19900,0.479748743718593,9.430097327987134e-05
3,4,2000,13,1987,25831,0.5174015717548681,0.0001224064543111737
4,5,2000,14,1986,27804,0.5050352467270895,0.000131755993018771
5,6,2000,16,1984,31744,0.41135332661290325,0.00015042663797971035
6,7,2000,20,1980,39600,0.4830050505050505,0.0001876541980845681
7,8,2000,28,1972,55216,0.5115727325412924,0.00026165439902619983
8,9,2000,31,1969,61039,0.5062337194252855,0.0002892480958809079
9,10,2000,36,1964,70704,0.520409029192125,0.0003350480409437198
10,11,1998,40,1958,78320,0.48313329928498466,0.000371138302878368
11,12,1997,42,1955,82110,0.45881135062720735,0.00038909813648292646
12,13,1993,45,1948,87660,0.4464179785535022,0.0004153981566690212
13,14,1991,49,1942,95158,0.4560205132516446,0.0004509292470033165
14,15,1988,53,1935,102555,0.4846375115791526,0.00048598172435764854
15,16,1987,58,1929,111882,0.4926350976922115,0.0005301799744974154
16,17,1982,63,1919,120897,0.5058851749836637,0.0005728997370159099
17,18,1980,68,1912,130016,0.506422286487817,0.0006161123287414951
18,19,1980,73,1907,139211,0.5227388640265496,0.0006596850648876467
19,20,1980,74,1906,141044,0.5160871784691302,0.0006683711796626219
20,21,1979,78,1901,148278,0.4958995940058538,0.0007026512420096866
21,22,1978,84,1894,159096,0.5145949615326596,0.00075391495703188
22,23,1973,86,1887,162282,0.5161324114812487,0.0007690125902414111
23,24,1969,89,1880,167320,0.5056359072436051,0.000792886374331059
24,25,1967,91,1876,170716,0.5337988237775019,0.0008089791434395234
25,26,1966,92,1874,172408,0.5311934480998561,0.0008169970955395004
26,27,1965,95,1870,177650,0.5246608499859273,0.0008418375830738264
27,28,1961,95,1866,177270,0.5104134935409262,0.0008400368609709946
28,29,1960,97,1863,180711,0.512525524179491,0.0008563428734863735
29,30,1959,97,1862,180614,0.49424186386437374,0.0008558832154759138
30,31,1957,97,1860,180420,0.5099656357388316,0.0008549638994549944
31,32,1955,96,1859,178464,0.5165635646404878,0.0008456949193677869
32,33,1954,105,1849,194145,0.5128846995802107,0.0009200031385638504
33,34,1952,104,1848,192192,0.5199592074592075,0.0009107483747037706
