time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,10000,29,9971,289159,0.5026438741315331,5.47473107276224e-05
1,2,10000,50,9950,497500,0.5447216080402011,9.419311550735804e-05
2,3,10000,71,9929,704959,0.4910001858264098,0.00013347192867326957
3,4,10000,93,9907,921351,0.48103817112045244,0.00017444205259461274
4,5,10000,113,9887,1117231,0.5123801613095234,0.00021152858016362038
5,6,10000,139,9861,1370679,0.5221229770062866,0.00025951462386032166
6,7,10000,170,9830,1671100,0.4986021183651487,0.00031639420165697693
7,8,10000,191,9809,1873519,0.4951366919684294,0.00035471877702960793
8,9,10000,209,9791,2046319,0.5005548988207605,0.0003874355013706561
9,10,10000,226,9774,2208924,0.5044944959627402,0.0004182219768421615
10,11,9990,239,9751,2330489,0.5001722814396463,0.00044123823028266804
11,12,9976,252,9724,2450448,0.4959860401036872,0.0004639504150930141
12,13,9961,260,9701,2522260,0.487896172480236,0.0004775467889840983
13,14,9954,275,9679,2661725,0.49539077102255125,0.0005039521012539148
14,15,9941,301,9640,2901640,0.49160784935415835,0.0005493759028759204
15,16,9934,322,9612,3095064,0.48602872186164814,0.0005859974288535992
16,17,9915,332,9583,3181556,0.5054259613849323,0.0006023732096505086
17,18,9906,356,9550,3399800,0.4993549620565916,0.0006436939780943032
18,19,9900,380,9520,3617600,0.5039526205218929,0.0006849306827324994
19,20,9890,388,9502,3686776,0.5018946092737937,0.0006980279751110663
20,21,9880,405,9475,3837375,0.5094826541581159,0.0007265413198392926
21,22,9873,428,9445,4042460,0.5134049563879419,0.0007653706567113057
22,23,9860,447,9413,4207611,0.5213231451291481,0.0007966391737347342
23,24,9851,464,9387,4355568,0.5260496449601981,0.0008246523009530702
24,25,9834,475,9359,4445525,0.5310515630887241,0.00084168412023286
25,26,9822,488,9334,4554992,0.5369603283606207,0.0008624098243037022
26,27,9817,507,9310,4720170,0.5338695428342624,0.0008936834533153089
27,28,9800,514,9286,4773004,0.5287506568190599,0.0009036866675157427
28,29,9786,521,9265,4827065,0.5239774065607155,0.0009139221931789452
29,30,9776,529,9247,4891663,0.5204671703672146,0.0009261527195619488
30,31,9769,542,9227,5001034,0.5158897140071433,0.0009468602476748238
31,32,9764,554,9210,5102340,0.5080992250614424,0.0009660408059855543
32,33,9758,573,9185,5263005,0.5077604904422474,0.000996459975639805
33,34,9746,581,9165,5324865,0.511043378564527,0.001008172108554951
34,35,9736,593,9143,5421799,0.5123515276018162,0.0010265249034465897
35,36,9720,598,9122,5454956,0.5062950095289493,0.0010328026142624237
36,37,9709,612,9097,5567364,0.5106554915396228,0.0010540851463789083
37,38,9696,626,9070,5677820,0.5128082609170421,0.0010749981006833924
38,39,9685,637,9048,5763576,0.5113245665538201,0.0010912345324692195
39,40,9673,649,9024,5856576,0.5141538332295184,0.001108842491749992
40,41,9663,660,9003,5941980,0.5138255261714109,0.0011250122783566057
41,42,9653,673,8980,6043540,0.5160822961376941,0.0011442409272227913
42,43,9642,688,8954,6160352,0.5118709125712297,0.0011663572814110234
43,44,9635,702,8933,6270966,0.5117948335232563,0.001187300150312995
44,45,9620,718,8902,6391636,0.5063706694185964,0.0012101469508120361
45,46,9608,731,8877,6489087,0.5055392230062565,0.0012285976308106443
46,47,9601,749,8852,6630148,0.5100379358047512,0.0012553051183816662
47,48,9595,759,8836,6706524,0.5132494866192979,0.0012697656076077768
48,49,9588,780,8808,6870240,0.514984338247281,0.0013007624319261739
49,50,9577,801,8776,7029576,0.5139698326044132,0.0013309299781623155
50,51,9567,811,8756,7101116,0.5154785529485787,0.0013444748535058257
51,52,9559,825,8734,7205550,0.5142789932760163,0.0013642476451136557
52,53,9548,832,8716,7251712,0.5170752782239559,0.0013729876302353656
53,54,9535,843,8692,7327356,0.5185049013586893,0.0013873095277819759
54,55,9532,853,8679,7403187,0.5171810464871412,0.001401666830580043
55,56,9523,860,8663,7450180,0.5141028807357675,0.001410564151337907
56,57,9510,860,8650,7439000,0.5113785455034279,0.0014084474095663044
57,58,9501,875,8626,7547750,0.5118403497731112,0.0014290373619510787
58,59,9493,884,8609,7610356,0.5119650118864347,0.001440890737206262
59,60,9477,895,8582,7680890,0.5123648431366677,0.0014542451436569072
60,61,9464,901,8563,7715263,0.5173880657081942,0.0014607530832736599
61,62,9456,913,8543,7799759,0.5183988377076779,0.0014767509556111668
62,63,9446,923,8523,7866729,0.513452033240245,0.0014894305796222778
63,64,9440,929,8511,7906719,0.5144972269787254,0.00149700200211301
64,65,9433,942,8491,7998522,0.5146887137398635,0.0015143833299178784
65,66,9425,950,8475,8051250,0.5145902810122652,0.0015243664748313898
66,67,9416,957,8459,8095263,0.5127730871745612,0.001532699583560687
67,68,9408,970,8438,8184860,0.5117133341315551,0.0015496632429980997
68,69,9401,978,8423,8237694,0.5126944506557296,0.0015596664571985333
69,70,9389,988,8401,8300188,0.5140449830774917,0.0015714986271694214
70,71,9385,997,8388,8362836,0.5186842119108876,0.0015833599544062154
71,72,9375,1005,8370,8411850,0.5199826435326356,0.001592639916945869
72,73,9361,1010,8351,8434510,0.520796110266038,0.0015969302003577216
73,74,9346,1009,8337,8412033,0.5192663889930056,0.001592674564865744
74,75,9333,1016,8317,8450072,0.5177619788328431,0.001599876598877371
75,76,9324,1021,8303,8477363,0.5167573925995619,0.0016050436829282478
76,77,9317,1038,8279,8593602,0.5188011965180608,0.001627051549367363
77,78,9310,1044,8266,8629704,0.5201380024158418,0.0016338868455604216
78,79,9303,1057,8246,8716022,0.5224452164072096,0.0016502296824335153
79,80,9294,1064,8230,8756720,0.5240118446176194,0.001657935152614256
80,81,9277,1069,8208,8774352,0.5221570778104184,0.001661273470227574
81,82,9269,1080,8189,8844120,0.5238651216853684,0.0016744828476802723
82,83,9262,1086,8176,8879136,0.5260083864015598,0.0016811125283488263
83,84,9249,1091,8158,8900378,0.5244449168338693,0.001685134337714871
84,85,9229,1088,8141,8857408,0.5261402658655896,0.0016769987031955722
85,86,9221,1101,8120,8940120,0.5269433743618653,0.0016926588056475212
86,87,9209,1112,8097,9003864,0.5261787605854553,0.0017047276417377745
87,88,9196,1117,8079,9024243,0.5260537642880406,0.0017085860568150095
88,89,9190,1124,8066,9066184,0.5273645449948954,0.001716526867784847
89,90,9184,1134,8050,9128700,0.526733707975944,0.001728363203079436
90,91,9171,1145,8026,9189770,0.5239195322625049,0.0017399257630071432
91,92,9163,1155,8008,9249240,0.5223066976313729,0.001751185390302063
92,93,9155,1165,7990,9308350,0.5253312348590244,0.0017623768577546056
93,94,9143,1180,7963,9396340,0.5244963464497878,0.0017790362592289622
94,95,9132,1192,7940,9464480,0.5233958970804524,0.0017919374027277992
95,96,9121,1196,7925,9478300,0.525027167319034,0.001794553983343501
96,97,9109,1198,7911,9477378,0.523628581660455,0.0017943794184138572
97,98,9102,1204,7898,9509192,0.5224881356901827,0.0018004028551510452
98,99,9086,1201,7885,9469885,0.5247089061799589,0.0017929607470279344
99,100,9081,1206,7875,9497250,0.5230876306299193,0.0017981418417130778
100,101,9071,1209,7862,9505158,0.5203604190482684,0.00179963908625063
101,102,9056,1206,7850,9467100,0.5192718995257259,0.0017924334549139886
102,103,9046,1215,7831,9514665,0.5181541336452729,0.001801439074088074
103,104,9036,1221,7815,9542115,0.519379823026656,0.0018066362620693343
104,105,9023,1221,7802,9526242,0.5202449192451757,0.001803630981019187
105,106,9009,1227,7782,9548514,0.5202145590402862,0.0018078478032675887
106,107,8999,1235,7764,9588540,0.5187842987566408,0.0018154260417425586
107,108,8989,1241,7748,9615268,0.5190829834384231,0.0018204865313732736
108,109,8980,1245,7735,9630075,0.5198713405658835,0.0018232899835568261
109,110,8970,1247,7723,9630581,0.5183589650510182,0.0018233857860019452
110,111,8954,1251,7703,9636453,0.5183134292254629,0.0018244975487642754
111,112,8947,1259,7688,9679192,0.5180121439888784,0.0018325894473847153
112,113,8938,1266,7672,9712752,0.5181672506412189,0.001838943459357433
113,114,8929,1281,7648,9797088,0.5184773271404728,0.0018549110384316612
114,115,8917,1287,7630,9819810,0.5173674439729485,0.0018592130604830343
115,116,8912,1293,7619,9851367,0.5182887816482727,0.001865187838666081
116,117,8902,1296,7606,9857376,0.5210191840100246,0.0018663255400350935
117,118,8896,1304,7592,9899968,0.5225218909798496,0.0018743896067198963
118,119,8883,1309,7574,9914366,0.5238332940300974,0.0018771156217491927
119,120,8870,1307,7563,9884841,0.5215954409383013,0.001871525568009786
120,121,8862,1311,7551,9899361,0.5204715738722934,0.0018742746816523324
121,122,8851,1321,7530,9947130,0.5208357586560144,0.0018833189247370982
122,123,8838,1323,7515,9942345,0.5204620237982086,0.0018824129668321683
123,124,8828,1327,7501,9953827,0.5216264056025888,0.0018845868871382094
124,125,8819,1332,7487,9972684,0.5190958622573422,0.0018881571375485055
125,126,8808,1337,7471,9988727,0.5193564705492502,0.0018911946051908865
126,127,8800,1349,7451,10051399,0.5213717015909926,0.001903060476417172
127,128,8784,1356,7428,10072368,0.5215687115482674,0.0019070305979027476
128,129,8775,1360,7415,10084400,0.5222249216611796,0.0019093086513013095
129,130,8761,1361,7400,10071400,0.525615803165399,0.001906847323659911
130,131,8753,1371,7382,10120722,0.5256204053426228,0.0019161856007313763
131,132,8742,1376,7366,10135616,0.5256728352771061,0.0019190055248768368
132,133,8731,1379,7352,10138408,0.5254787536662561,0.0019195341423210509
133,134,8723,1389,7334,10186926,0.5251322135843531,0.0019287201957445405
134,135,8714,1400,7314,10239600,0.5241582679010899,0.0019386931166816954
135,136,8706,1408,7298,10275584,0.5245438118164378,0.001945506071593086
136,137,8696,1416,7280,10308480,0.5256887533370583,0.0019517343665231964
