time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,2000,2,1998,3996,0.5337837837837838,1.933320726108238e-05
1,2,2000,8,1992,15936,0.665913654618474,7.710059832647868e-05
2,3,2000,12,1988,23856,0.6448692152917506,0.00011541866677186718
3,4,2000,16,1984,31744,0.5470640120967742,0.00015358191473868846
4,5,2000,21,1979,41559,0.5321590991121057,0.00020106825839922988
5,6,2000,32,1968,62976,0.5593241869918699,0.0003046867018203013
6,7,2000,39,1961,76479,0.4880686201440918,0.00037001610563571554
7,8,2000,44,1956,86064,0.48129299126231645,0.00041638967710655504
8,9,2000,48,1952,93696,0.432099556010929,0.00045331436124483853
9,10,2000,50,1950,97500,0.4140923076923077,0.0004717186456345175
10,11,1997,55,1942,106810,0.42038198670536464,0.0005167617286176699
11,12,1994,59,1935,114165,0.42930845705776727,0.0005523462479883559
12,13,1990,59,1931,113929,0.4105012771111832,0.0005512044469589226
13,14,1990,63,1927,121401,0.39551568767967316,0.0005873550287043698
14,15,1986,67,1919,128573,0.3886896937926314,0.0006220541684632495
15,16,1985,76,1909,145084,0.4044139946513744,0.000701936697263983
16,17,1984,80,1904,152320,0.44640231092436977,0.0007369454779799971
17,18,1983,81,1902,154062,0.4301839519154626,0.0007453735177820005
18,19,1981,82,1899,155718,0.4552395997893628,0.0007533854775478544
19,20,1978,80,1898,151840,0.4424394099051633,0.0007346231708014886
20,21,1975,81,1894,153414,0.4684970080957409,0.0007422384030910141
21,22,1974,87,1887,164169,0.48831387168101165,0.0007942725983094678
22,23,1969,91,1878,170898,0.5052077847605004,0.0008268284420681823
23,24,1969,94,1875,176250,0.5115460992907801,0.0008527221671085509
24,25,1964,93,1871,174003,0.5015660649529031,0.0008418508666291585
25,26,1960,97,1863,180711,0.5090337610881462,0.0008743051094488133
26,27,1959,100,1859,185900,0.49381925766541146,0.00089941021767648
27,28,1957,102,1855,189210,0.4922308546059933,0.0009154244609282776
28,29,1954,105,1849,194145,0.4840969378557264,0.000939300681607317
29,30,1953,108,1845,199260,0.4686038341864901,0.0009640477674782971
30,31,1952,112,1840,206080,0.46676048136645965,0.0009970438819729371
31,32,1951,115,1836,211140,0.4625130245334849,0.0010215248701463799
